Manufacturer,Model,Effective Length,Overhang,Offset Angle,Null Points,Null Alignment Type,Effective Mass,Cartridge Range Low,Cartridge Range High,Arm Mount,Null Point Inner,Null Point Outer,Sources
Magnepan,Unitrac-1,241.3,17.145,22.8,66/121,Baewald,,,,,66.0,121.0,"BIGLOBE Arm Data,Magnepan Unitrac 1 UnDamped Radial Uni-Pivot Tonearm Manual"
Manticore,Magician 12inch,304.8,20.0,21.967,79/149,Other,,,,,79.0,149.0,"BIGLOBE Arm Data,Manticore Manuals | Vinyl Engine"
Manticore,Musician/Magician,227.48,16.78,23.6,60/122,Other,,,,,60.0,122.0,"BIGLOBE Arm Data,Manticore Musician Tonearm Manual"
Mayware,Formula 4 MK III/IV/V,229.0,17.0,23.5,around 63.5,Other,,,,,63.5,,"BIGLOBE Arm Data,Mayware Formula IV"
Mayware,Formula 4 Model PL S4/D,224.0,15.0,22.023,60/108,Other,,,,,60.0,108.0,"BIGLOBE Arm Data,Mayware Formula IV"
Michell,T2 Tonearm,,,,,Unknown,11.0,,,Three point arm mounting system,,,Michell T2 tonearm official page
Michell,T8 Tonearm,,,,,Unknown,11.0,,,Partner with Gyro model turntables,,,Michell T8 tonearm official page
Michell,TecnoArm 2,,,,,Unknown,12.5,,,Partner with Gyro and Orbe model turntables; Rega compatibility without VTA adjuster on double-brace models,,,Michell TecnoArm 2 official page
Micro,MA-202,237.0,15.0,21.833,58/118 (67/103),Other,,4.0,6.0,,58.0,118.0,"MICRO MA-202の仕様 マイクロ,BIGLOBE Arm Data"
Micro,MA-303,222.0,15.0,22.5,57/113 (54/120),Other,,4.0,12.0,,57.0,113.0,"MICRO MA-303の仕様 マイクロ,BIGLOBE Arm Data"
Micro,"MA-505, MA-707, MAX-237, CF-1(dynamic)",237.0,15.0,21.833,58/118,Other,,,,,58.0,118.0,"BIGLOBE Arm Data,MICRO MA-505/MA-505Lの仕様 マイクロ"
Micro,"MA-701, CF-2 (static)",237.0,15.0,21.833,58/118,Other,,,,,58.0,118.0,"BIGLOBE Arm Data,Micro Seiki MA-701"
Micro,MAX-282 & MA-505L,282.0,12.0,17.5,61/109,Other,,,,,61.0,109.0,"BIGLOBE Arm Data,MICRO MA-505/MA-505Lの仕様 マイクロ"
Micro Seiki,MA-505,237.0,15.0,21.833,,Other,,4.0,10.0,,,,"Micro Seiki MA-505 operating manual mirror,Micro Seiki MA-505 original operating manual mirror"
Micro Seiki,MA-707,237.0,15.0,21.833,,Other,,4.0,12.0,,,,"Micro Seiki MA-707 operating manual mirror,Micro Seiki MA-707 original operating manual mirror"
Mission,774 Original,229.0,13.6,20.5,60/100?,Other,,,,,60.0,100.0,"BIGLOBE Arm Data,MISSION 774の仕様 ミッション"
Moerch,DP-6 & UP-4,230.0,18.0,24.0,65/122,Baewald,,,,,65.0,122.0,"BIGLOBE Arm Data,Technical specifications: Mørch DP-6/DP-8/UP-4"
Moerch,DP-6 12-inch,307.4,13.3,24.0,,Other,,,,,,,Moerch official specifications
Moerch,DP-6 9-inch,230.0,18.0,24.0,66 / 120.9,Baewald,,,,,66.0,120.9,Moerch official specifications
Moerch,DP-8 12-inch,307.4,13.3,24.0,,Other,,,,,,,Moerch official specifications
Moerch,DP-8 9-inch,230.0,18.0,24.0,66 / 120.9,Baewald,,,,,66.0,120.9,Moerch official specifications
Moerch,UP-4 12-inch,307.4,13.3,24.0,66 / 120.9,Baewald,,,,20 mm hole,66.0,120.9,Moerch official specifications
Moerch,UP-4 9-inch,230.0,18.0,24.0,66 / 120.9,Baewald,,,,20 mm hole,66.0,120.9,Moerch official specifications
Music Hall,MMF-1.3,221.5,19.0,,,Unknown,,,,Aluminum tonearm with removable headshell,,,Music Hall MMF-1.3 official product page
Music Hall,MMF-2.3,218.5,18.5,,,Unknown,,,,Carbon fiber tonearm / fully adjustable gimbal bearing assembly,,,Music Hall MMF-2.3 official product page
Music Hall,MMF-3.3,218.5,18.5,,,Unknown,,,,Custom carbon fiber tonearm with alloy headshell,,,Music Hall MMF-3.3 official product page
Music Hall,MMF-5.3,230.0,18.0,,,Unknown,,,,9 inch carbon fiber tonearm / adjustable VTA + azimuth,,,Music Hall MMF-5.3 official product page
Music Hall,MMF-7.3,230.0,18.0,,,Unknown,,,,Full carbon fiber tonearm / adjustable VTA + azimuth,,,Music Hall MMF-7.3 official product page
Music Hall,MMF-9.3,230.0,18.0,,,Unknown,,,,Full carbon fiber tonearm / adjustable VTA,,,Music Hall MMF-9.3 official product page
Naim,Aro,230.5,18.0,24.0,65/122,Baewald,,,,,65.0,122.0,"BIGLOBE Arm Data,NAIM ARO Manual"
Odyssey,RP1-XG & RP1 Gold,230.0,17.2,23.5,63.5/120,Other,,,,,63.5,120.0,"BIGLOBE Arm Data,ODYSSEY TONEARMS: RP1 to RP1-XGII,ODYSSEY TONEARMS: Odyssey Gold Signature"
Origin Live,"10""",,,,,Unknown,,,,,,,Origin Live tonearm overview page
Origin Live,"12""",309.0,,,,Unknown,,,,,,,Origin Live tonearm overview page
Origin Live,"9""",229.0,,,,Unknown,,,,,,,Origin Live tonearm overview page
Origin Live,"9.5""",240.0,,,,Unknown,,,,,,,Origin Live tonearm overview page
Origin Live,Agile,,,,,Unknown,,,,,,,"Origin Live Agile official page,Origin Live tonearm overview page"
Origin Live,Alliance,237.0,17.24,22.0,,Other,,,,23-24 mm mounting hole / 32 mm A-F nut / 27 mm max armboard thickness,,,Origin Live tonearm specifications
Origin Live,Conquerer,,,,,Unknown,,,,,,,"Origin Live Conqueror official page,Origin Live tonearm overview page"
Origin Live,Conqueror,,,,,Unknown,,,,,,,"Origin Live Conqueror official page,Origin Live tonearm overview page"
Origin Live,Encounter,,,,,Unknown,,,,,,,"Origin Live Encounter official page,Origin Live tonearm overview page"
Origin Live,Enterprise,,,,,Unknown,,,,,,,"Origin Live Enterprise official page,Origin Live tonearm overview page"
Origin Live,Illustrious,,,,,Unknown,,,,,,,"Origin Live Illustrious official page,Origin Live tonearm overview page"
Origin Live,Onyx,237.0,17.24,22.0,,Other,12.0,,,23-24 mm mounting hole / 32 mm A-F nut / 27 mm max armboard thickness,,,Origin Live tonearm specifications
Origin Live,Renown,,,,,Unknown,,,,,,,"Origin Live Renown official page,Origin Live tonearm overview page"
Origin Live,Silver,237.0,17.24,22.0,,Other,12.0,,,23-24 mm mounting hole / 32 mm A-F nut / 27 mm max armboard thickness,,,Origin Live tonearm specifications
Origin Live,Zephyr,237.0,17.24,22.0,,Other,12.4,,,23-24 mm mounting hole / 32 mm A-F nut / 27 mm max armboard thickness,,,Origin Live tonearm specifications
Ortofon,AS-212R,232.0,18.0,23.75,66.04 / 120.9,Baewald,7.0,,,22 mm shaft hole / 40 mm fixing screw circle,66.04,120.9,Ortofon AS-212R / AS-309R userguide
Ortofon,AS-309R,323.5,12.5,16.75,66 / 120.9,Baewald,11.0,,,22 mm shaft hole / 40 mm fixing screw circle,66.0,120.9,Ortofon AS-212R / AS-309R userguide
Ortofon,RMG-212 & RS-212,231.0,16.0,22.7,61/114,Other,,,,,61.0,121.5,"BIGLOBE Arm Data,Ortofon RS/AS tonearm alignment recommendations,Ortofon RS 212 vintage page"
Ortofon,RMG-309,320.0,11.0,15.9,60/115,Other,,,,,60.0,115.0,"BIGLOBE Arm Data,Ortofon RMG 309 vintage page"
Ortofon,RS-212D,231.0,15.0,22.0,58.5 / 114.5,Other,3.5,,,34-36 mm base hole / 50 mm fixing PCD,58.5,114.5,Ortofon RS-212D official product page
Ortofon,RS-309D,329.0,15.0,19.0,,Other,4.0,,,34-36 mm base hole / 50 mm fixing PCD,,,Ortofon RS-309D official product page
Ortofon,SMG-212/SKG-212/AS-212,234.7,17.7,23.5,61/114,Baewald,,,,,66.0,121.0,"Ortofon AS-212S page,BIGLOBE Arm Data,Ortofon RS/AS tonearm alignment recommendations"
Ortofon,TA-110,231.0,18.0,23.9,66 / 120.9,Baewald,3.5,5.5,12.5,Mounting distance 213.0 mm; armbase hole 19-20 mm; center shaft 18 mm,66.0,120.9,"Ortofon TA-110 user manual,Ortofon TA-110 official product page"
Pear Audio,Cornet 1,239.0,,,,Unknown,12.5,,,,,,Pear Audio tonearms official page
Pear Audio,Cornet 2,,,,,Unknown,,,,,,,Pear Audio tonearms official page
Pear Audio,Cornet 3,,,,,Unknown,,,,,,,"Pear Audio Aras official page,Pear Audio Golden Ear Odar/Cornet 3 page"
Pioneer,PA-100,237.0,14.5,21.5,57/117,Other,,,,,57.0,117.0,"BIGLOBE Arm Data,Pioneer PA-100の仕様 パイオニア"
Pioneer,PA-1000,237.0,15.0,21.683,60/116,Stevenson,,,,,60.0,116.0,"BIGLOBE Arm Data,Pioneer PA-1000の仕様 パイオニア,Pioneer PA-1000 Carbon Fibre Tonearm Manual"
Pro-Ject,10cc Evolution,254.0,16.0,21.4,,Baewald,8.5,,,,,,Pro-Ject Evolution tonearm manual
Pro-Ject,12cc Evolution,304.8,13.2,18.0,,Other,10.5,,,,,,Pro-Ject Evolution tonearm manual
Pro-Ject,9cc Evolution,230.0,18.0,24.0,,Baewald,8.0,,,,,,Pro-Ject Evolution tonearm manual
RS-Lab,Alternative alignment (underhang),215.0,-19.6,0.0,93.86?,Other,,,,,93.86,,"BIGLOBE Arm Data,RS Laboratory RS-A1 Japanese Uni-Pivot Tonearm Manual"
Rabco,SL-8,,,,,Unknown,24.0,,,,,,"Soundfountain Rabco SL-8/SL-8E technical archive,Rabco SL-8 manual via Library of Congress"
Rabco,SL-8E,,,,,Unknown,24.0,,,,,,"Soundfountain Rabco SL-8/SL-8E technical archive,Rabco SL-8 manual via Library of Congress"
Reed,1H 10.5-inch,266.7,15.4,20.7,,Other,15.0,,,,,,Reed 1H official page
Reed,1H 12-inch,304.8,13.4,17.6,,Other,18.0,,,,,,Reed 1H official page
Reed,1H 9.5-inch,241.3,17.0,22.9,,Other,12.0,,,,,,Reed 1H official page
Reed,3P 10.5-inch,266.7,15.4,20.7,,Unknown,,,,,,,Reed 3P official page
Reed,3P 12-inch,304.8,13.4,17.6,,Unknown,,,,,,,Reed 3P official page
Reed,3P 9.5-inch,241.3,17.0,22.9,,Unknown,,,,,,,Reed 3P official page
Rega,RB2000,,,,,Unknown,,,,,,,Rega RB2000 user manual mirror
Rega,RB220,,,,,Unknown,,,,,,,Rega RB220 official page
Rega,RB250,237.0,15.0,21.63,60 / 115,Other,,,,,60.0,115.0,"Rega zero-play tonearm note,BIGLOBE grouped legacy split,Rega product timeline,Rega Planar 78 product page"
Rega,RB250 & RB300,237.0,15.0,21.63,60/115,Other,,,,,60.0,115.0,"Rega zero-play tonearm note,BIGLOBE Arm Data,Rega product timeline,Rega Planar 78 product page"
Rega,RB300,237.0,15.0,21.63,60 / 115,Other,,,,,60.0,115.0,"Rega zero-play tonearm note,BIGLOBE grouped legacy split,Rega product timeline,Rega RB330 page"
Rega,RB3000,,,,,Unknown,,,,,,,Rega RB3000 official page
Rega,RB330,236.5,14.5,21.55,,Other,11.0,,,25 mm pillar / 3-point Rega fixing,,,"Rega RB330 official instructions PDF,Rega RB330 official product page"
Rega,RB700,,,,,Unknown,,,,,,,Rega official product timeline
Rega,RB880,,,,,Unknown,,,,,,,Rega RB880 official page
Roksan,Artemiz/Tabriz,240.0,17.5,22.9,68/118,Other,,,,,68.0,118.0,"BIGLOBE Arm Data,Artemiz Tonearm | Roksan,Tabriz Tonearm | Roksan"
SAT,LM-09,235.0,22.8,26.1,80 / 126,Other,,,,,80.0,126.0,SAT 9 vs 12 geometry paper
SAT,LM-12,297.6,17.6,20.3,80 / 126,Other,,,,,80.0,126.0,SAT 9 vs 12 geometry paper
SME,3009 II imp & imp/S2: (later=S/N 439606 or above),231.2,17.95,23.84,66/121,Baewald,,,,,66.0,121.0,"SME Model 3009 Series II Improved instruction book,BIGLOBE Arm Data"
SME,3009 Series II improved with non-detachable shell and imp/S2 with detachable shell: (early=Serial Number less than 439606). Don't mix up previous Series II with imp/S2. See pdf arranged by SME for the identification of specific models IMO: S2 was named after the lightweight shell type S-2.,231.2,15.86,22.6,60/117,Stevenson,,,,,60.0,117.0,"SME Series II precision pick-up arms instruction book,BIGLOBE Arm Data,SME Model 3009 Series II Improved instruction book"
SME,3009III &3009IIIS (original/smaller shell),229.0,16.0,22.8,60/117,Stevenson,,,,,60.0,117.0,"BIGLOBE Arm Data,SME Series III instruction book"
SME,3009III &3009IIIS with modified wand (larger shell),233.2,17.8,23.62,66/121,Baewald,,,,,66.0,121.0,"BIGLOBE Arm Data,SME Series III instruction book"
SME,3009R,233.2,17.8,23.62,66/121,Baewald,,,,,66.0,121.0,"BIGLOBE Arm Data,SME Models 3012-R, 3010-R and 3009-R instruction book"
SME,3010R,239.7,17.7,22.985,66/121,Baewald,,,,,66.0,121.0,"BIGLOBE Arm Data,SME Models 3012-R, 3010-R and 3009-R instruction book"
SME,3012R,308.8,13.24,17.615,66/121,Baewald,,,,,66.0,121.0,"BIGLOBE Arm Data,SME Models 3012-R, 3010-R and 3009-R instruction book"
SME,309,232.32,17.0,23.204,64/119,Other,9.5,6.0,17.0,,64.0,119.46,"SME Model 8 manual / 309 tonearm specs,BIGLOBE Arm Data"
SME,310,238.5,16.5,22.6,64/119,Other,9.7,6.0,17.0,,64.0,119.46,"SME Series 300 instructions,BIGLOBE Arm Data"
SME,312,308.2,12.6,17.3,64/119,Other,12.0,5.0,14.0,,64.0,119.46,"SME Series 300 instructions,BIGLOBE Arm Data"
SME,M2-10,239.3,17.3,23.23,66/121,Baewald,9.6,5.0,12.0,,66.04,121.0,"SME Series M2 instructions,BIGLOBE Arm Data"
SME,M2-12,308.81,13.21,17.62,66/121,Baewald,12.0,5.0,12.0,,66.04,121.0,"SME Series M2 instructions,BIGLOBE Arm Data"
SME,M2-9,233.2,17.8,23.63,66/121,Baewald,9.5,5.0,12.0,,66.04,121.0,"SME Series M2 instructions,BIGLOBE Arm Data"
SME,Series V,233.15,17.8,23.635,66 / 120.9,Baewald,10.5,,14.0,Pivot-to-spindle 215.35 mm; sliding base overhang adjustment,66.0,120.9,SME Series V instructions PDF
SME,V/IV,233.15,17.8,23.635,66/121,Baewald,,,,,66.04,121.0,"SME Series V official sheet,BIGLOBE Arm Data"
SUMIKO,MMT/FT-3/FT-4,239.0,17.3,23.0,66/121,Baewald,,,,,66.0,121.0,"BIGLOBE Arm Data,Sumiko Premier MMT Stereo S-Shaped Tonearm Manual,Sumiko Premier FT-3 Stereo Gimbal Bearing Tonearm Manual"
SUMIKO,Premier FT-3,239.0,17.3,23.0,,Baewald,,,,Pivot-to-spindle 221.7 mm; standard counterweight up to 8 g cartridge; extra weight 8-14 g,,,"Sumiko Premier FT-3 mounting and operating instructions,Sumiko Premier FT-3 Stereo Gimbal Bearing Tonearm Manual"
Saec,"WE-308 (circa 1971), WE-308N(1975) & WE-308SX (1982) IMO: ""Small overhang can moderate inside force."" Its effective null point around 61 is based on LP's inmost recorded radius.",240.0,5.0,12.0,39/61,Other,,,,,39.0,61.0,"BIGLOBE Arm Data,SAEC WE-308の仕様 サエク,SAEC WE-308N/WE-308Lの仕様 サエク,SAEC トーンアーム一覧 サエク"
Saec,WE-308L(circa 1978),270.0,5.0,11.2,44/61,Other,,,,,44.0,61.0,"BIGLOBE Arm Data,SAEC WE-308N/WE-308Lの仕様 サエク"
Saec,WE-308SX,240.0,5.0,12.0,,Other,,,,,39.2,60.6,"Audiogon SAEC 308N vs 308SX discussion,SAEC トーンアーム一覧 サエク"
Saec,WE-317(1982),248.0,13.0,19.3,61/103,Other,,,,,61.0,103.0,"BIGLOBE Arm Data,SAEC WE-317S Concealed Double Knife-Edge Tonearm Manual"
Saec,WE-407/23,233.0,12.0,18.0,,Unknown,,,,,,,"OTOMON SAEC WE-407/23 page,BIGLOBE arm data table,SAEC WE-407/23の仕様 サエク"
Saec,"WE-407/23(1980), WE-317S & WE-4700(2019) English manual for WE-407/23 & WE-317S uploaded at Vinyl Engine indicated Effective Length 221, which is mistranslation of Arm Distance. Similar case as Sound ST-14. WE-407/TM for Micro (BL-99V/SX-777FV etc with armbase 1200 series). Micro Armbase 1200 series had off-center mounting hole for adjustment of arm distance/overhang. WE-407/GT (around 1986) for Yamaha GT-2000 series (Heavy Turntables around 1982). GT had different geometry. GT-2000's standard arm distance was 248mm. SAEC's tradition: they don't care much about alignment while their mechanical precision work is superb.",233.0,12.0,18.8,61/89 (no null point if L233 Overhang 12 and offset 18 degrees),Other,,,,,61.0,89.0,"BIGLOBE Arm Data,SAEC WE-407/23の仕様 サエク,SAEC WE-317S Concealed Double Knife-Edge Tonearm Manual,SAEC Manuals | Vinyl Engine"
Saec,WE-506/30(1978),295.0,9.0,14.4,61/86,Other,,,,,61.0,86.0,"BIGLOBE Arm Data,SAEC その他レコードプレイヤーアクセサリー,SAEC トーンアーム一覧 サエク"
Saec,WE-8000/ST(circa 1984),306.0,13.0,18.0,60.6/128.5,Other,,,,,60.6,128.5,"BIGLOBE Arm Data,SAEC Manuals | Vinyl Engine"
Satin,AR-1/1M/1S,250.5,15.5,21.5,62/122,Other,,,,,62.0,122.0,"BIGLOBE Arm Data,Satin Manuals | Vinyl Engine,特許図に見る珍しいアーム"
Schick,Schick 10.5-inch Tonearm,,,,,Unknown,,6.0,40.0,,,,"Thomas Schick 12-inch tonearm official page,Thomas Schick FAQ,Thomas Schick products page"
Schick,Schick 12-inch Tonearm,317.5,12.75,,,Unknown,,6.0,40.0,,,,"Thomas Schick 12-inch tonearm official page,Thomas Schick FAQ"
Schroeder,CB 9-inch,239.3,17.3,23.0,,Baewald,14.0,,,24-25 mm hole with single M6 tapped hole,,,"Schroeder CB Tonearm spec page,Man_SCHRODER CB.cdr"
Schroeder,CB-L 12-inch,282.0,14.52,19.35,,Baewald,18.0,,,24-25 mm hole with single M6 tapped hole,,,"Schroeder CB Tonearm spec page,Man_SCHRODER CB.cdr"
Schroeder,DPS,,,,,Unknown,,,,24-26 mm hole / M6 mounting screw,66.0,,Schroeder DPS official manual
Schroeder,Model 2,,,,66.04 / 120.9,Baewald,,,,20-23 mm hole / 3 x M4 screws,66.04,120.9,Schroeder Model 2 official manual
Schroeder,Model 2 and Model DPS,239.3,17.3,23.0,66/121,Baewald,,,,,66.0,121.0,"BIGLOBE Arm Data,Anleitungen/manuals"
Schroeder,Reference,,,,,Unknown,,,,Dual M4 mounting scheme,,,"Schroeder Reference official mounting schematic,Schroeder Reference official info page"
Sony,PUA-1600S,237.0,15.0,21.5,61/113,Other,,4.0,18.0,,61.0,113.0,"SONY PUA-1600S/PUA-1600L Specifications SONY,BIGLOBE Arm Data"
Sony,PUA-237 & PUA-1500S,237.0,15.0,22.22,56/124,Other,,,,,56.0,124.0,"BIGLOBE Arm Data,SONY PUA-1500S/PUA-1500L Specifications"
Sony,PUA-286 & PUA-1500L,286.0,13.0,18.65,58/125,Other,,,,,58.0,125.0,"BIGLOBE Arm Data,SONY PUA-1500S/PUA-1500L Specifications"
Sony,PUA-7,235.0,14.0,21.0,58/111,Other,,11.0,19.5,,58.0,111.0,"Sony PS-X70 Owner's Instruction Manual,BIGLOBE Arm Data"
Sony,PUA-9,264.0,14.0,20.0,59/121,Other,,10.5,18.5,,59.0,121.0,"Sony PS-X9 Service Manual,BIGLOBE Arm Data"
Sorane,SA-1.2,239.0,16.0,22.25,,Other,,15.0,45.0,Pivot-to-spindle 223 mm; cartridge+headshell range 15-45 g,,,"Sorane SA-1.2 instructions,Sorane SA-1.2 official manual"
Sorane,TA-1,232.0,16.0,22.0,,Other,,,,22 mm center hole and three 3.5 mm fixing holes,,,Sorane TA-1 instructions
Sound,ST-14 with slide base & ST-14S(standard) without slide base (same geometry as Guya STO-140). Distance 237 was wrongly quoted as effective length. Similar misleading description is repeated in Japan due to language and preference (bad practice) of indicating mounting distance for exchanging arms. For example: Catalogs from 1980s quoted 227mm for Stax short arms and 300mm for Stax long arms.,251.0,14.0,20.0,63/109,Other,,,,,63.0,109.0,"BIGLOBE Arm Data,TOKYO SOUND ST-14/ST-14Sの仕様 東京サウンド"
Stax,UA-7/7N/7cfN/9N,240.0,13.0,20.0,56/108,Other,,,,,56.0,108.0,"BIGLOBE Arm Data,YAMAHA YP-1000の仕様 ヤマハ,LUXMAN PD310の仕様 ラックスマン"
Stax,UA-70/70N/90N,312.0,12.0,17.0,60/122,Other,,,,,60.0,122.0,"BIGLOBE Arm Data,Stax UA-90 Template A Adjustement instructions,STAX UA-90N トーンアーム"
Supatrac,Blackbird 10.5-inch,266.7,,,,Unknown,,,,Standard Blackbird mount for Rega Linn SME Kuzma Pro-Ject Michell Brinkmann TW Acustic,,,Supatrac official page
Supatrac,Blackbird 12-inch,304.8,,,,Unknown,,,,Standard Blackbird mount for Rega Linn SME Kuzma Pro-Ject Michell Brinkmann TW Acustic,,,Supatrac official page
Supatrac,Blackbird 9-inch,228.6,,,,Unknown,10.0,,,Standard Blackbird mount for Rega Linn SME Kuzma Pro-Ject Michell Brinkmann TW Acustic,,,Supatrac official page
Supatrac,Blackbird 9.3-inch,236.22,14.22,,,Unknown,10.0,,,Rega/Michell 222 mm version; standard Blackbird mount supports Rega Linn SME Kuzma Pro-Ject Michell Brinkmann TW Acustic,,,Supatrac official site
Supatrac,Blackbird Farpoint 10.5-inch,266.7,,,,Unknown,,,,,,,Supatrac Blackbird Farpoint manual
Supatrac,Blackbird Farpoint 12-inch,304.8,,,,Unknown,,,,,,,Supatrac Blackbird Farpoint manual
Supatrac,Blackbird Farpoint 9-inch,228.6,,,,Unknown,10.0,,,,,,Supatrac Blackbird Farpoint manual
Supatrac,Blackbird Farpoint 9.3-inch,236.22,14.22,,,Unknown,10.0,,,Rega/Michell 222 mm version; standard Blackbird mount supports Rega Linn SME Kuzma Pro-Ject Michell Brinkmann TW Acustic,,,Supatrac official site
Supatrac,Nighthawk 10.5-inch,266.7,,,,Baewald,,,,Standard Nighthawk mount for Linn SME Kuzma Pro-Ject Brinkmann TW Acustic,,,Supatrac official page
Supatrac,Nighthawk 12-inch,304.8,,,,Baewald,,,,Standard Nighthawk mount for Linn SME Kuzma Pro-Ject Brinkmann TW Acustic,,,Supatrac official page
Supatrac,Nighthawk 9-inch,228.6,,,,Baewald,,,,Standard Nighthawk mount for Linn SME Kuzma Pro-Ject Brinkmann TW Acustic,,,Supatrac official page
Supatrac,Nighthawk 9.3-inch,236.22,,,,Baewald,,,,Custom Rega/Michell style application; standard Nighthawk pillar not compatible with Rega-type mount,,,Supatrac official page
Supex,6140,245.0,15.0,21.5,59/120,Other,,,,,59.0,120.0,"BIGLOBE Arm Data,SUPEX 製品一覧 スペックス,SUPEX 6120の仕様 スペックス"
Syrinx,PU-2 with minimum shell sliding on wand/PU-3 with fixed shell,228.0,16.6,23.4,60/121(64/114)?,Other,,,,,60.0,121.0,"BIGLOBE Arm Data,Syrinx PU2 Tonearm Manual,Syrinx PU3 Tonearm Manual"
TW-Acustic,Raven 10.5,267.0,15.8,20.5,70 / 117,Loefgren,14.0,,,4-hole flange mount,70.0,117.0,Raven 10.5 official page
TW-Acustic,Raven 12-inch,327.76,12.75,16.58,,Loefgren,18.0,,,,,,Raven 12.9 official page
TechDAS,Air Force 10 10-inch,248.0,18.0,23.0,68.9 / 124.9,Other,,,,TechDAS helicoid height adjustable mount,68.9,124.9,Air Force 10 leaflet
TechDAS,Air Force 10 12-inch,312.0,12.0,16.5,66.07 / 111.16,Other,,,,TechDAS helicoid height adjustable mount,66.07,111.16,Air Force 10 leaflet
Technics,EPA-100/250/500,250.0,15.0,21.0,62/117,Other,,,,,62.0,117.0,"BIGLOBE Arm Data,Technics EPA-250 operating instructions,Technics EPA-100 operating instructions,Technics EPA-500 operating instructions"
Technics,EPA-101L/101T/102L/102T/121L/121T,242.0,15.0,21.5,60/118,Stevenson,,,,,60.0,118.0,"BIGLOBE Arm Data,Technics Component Line Up,Technics/Panasonic tonearm index"
Technics,EPA-101S & EPA-121S,220.0,14.0,22.0,54/111,Other,,,,,54.0,111.0,"BIGLOBE Arm Data,Technics Component Line Up"
Technics,EPA-99 & EPA-110,235.0,14.0,21.0,58/111,Other,,,,,58.0,111.0,"BIGLOBE Arm Data,Technics SL-1100A operating instructions"
Thales,Simplicity II,,,,,Unknown,18.0,7.0,23.0,EMT / Ortofon standard,,,"Flyer Simplicity II,Thales Simplicity II official page"
Thales,Statement,,,,,Unknown,25.0,7.0,20.0,,,,Thales Statement official page
Thorens,BTD-12S,207.5,17.5,25.25,59/118,Stevenson,,,,,59.0,118.0,"BIGLOBE Arm Data,Thorens TD 135 operating manual"
Thorens,TP16II with TP-62,230.0,14.4,22.0,54/118,Other,,,,,54.0,118.0,"Thorens TD 160 Mk II instruction manual,BIGLOBE Arm Data"
Thorens,TP16III with TP-63,232.0,16.4,23.0,61/120,Other,7.5,,,,61.0,120.0,"Thorens TD 147 owner's manual,BIGLOBE Arm Data"
Tri-Planar,Mk VII,250.0,16.5,22.0,,Baewald,11.0,,,3-screw installation / no large VTA hole,,,"Tri-Planar Mk VII official page,Tri-Planar official Mk VII page"
Tri-Planar,Tri-Planar MKIV Ultimate,250.0,16.5,22.0,65/122,Baewald,,,,,65.0,122.0,"BIGLOBE Arm Data,Tri-Planar Precision Tonearm"
Tri-Planar,U12,308.8,13.2,17.6,,Baewald,15.0,,,3-screw installation / no large VTA hole,,,Tri-Planar U12 official page
Tri-Planar,U2 SE,250.0,16.5,22.0,,Baewald,11.0,,,3-screw installation / no large VTA hole,,,"Tri-Planar U2 SE official page,Tri-Planar official U2 SE page"
VPI,12-inch FatBoy gimbaled,313.0,13.0,17.37,,Baewald,12.5,,,,,,Gimbal | VPI Industries
VPI,Fatboy JMW 9 3D,240.7,17.7,22.85,,Loefgren,10.2,,,,,,VPI official unipivot tonearms page
VPI,JMW-10,273.42,15.42,19.98,,Loefgren,11.0,,,,,,VPI official unipivot tonearms page
VPI,JMW-10 3D,273.4,15.4,19.98,,Loefgren,9.0,,,,,,VPI official unipivot tonearms page
VPI,JMW-10.5,273.42,15.42,22.0,53 / 145.4,Loefgren,11.0,,,,53.0,145.4,"VPI tonearm geometry analysis,VPI JMW unipivot tonearm page,VPI JMW 10.5 setup manual"
VPI,JMW-10.5i,277.0,15.0,22.0,52 / 155.5,Other,,,,,52.0,155.5,"VPI Classic 1 product page,VPI tonearm geometry analysis"
VPI,JMW-12 3D,313.0,13.0,17.37,,Baewald,10.5,,,,,,"VPI official unipivot tonearms page,VPI Unipivot Tonearms official page"
VPI,JMW-9,240.7,17.7,22.85,,Loefgren,10.2,,,,,,VPI official unipivot tonearms page
Vertere Acoustics,Reference Tonearm (Gen III),,,,,Unknown,,,,,,,Vertere official tonearm page
Vertere Acoustics,Super Groove II Pathfinder Tonearm,,,,,Unknown,,,,,,,Vertere official tonearm page
Vertere Acoustics,Super Groove Precision Tonearm,,,,,Unknown,,,,,,,Vertere official tonearm page
ViV Laboratory,Rigid Float HA9,259.0,-15.0,0.0,,Other,,,50.0,,,,"DS Exports Rigid Float tonearm series,Sierra Sound ViV Lab tech info,Rigid Float Tonearm Series - DS Exports"
Victor (JVC),UA-7045,245.0,15.0,21.667,58/123,Other,,,,,58.0,123.0,"BIGLOBE Arm Data,VICTOR UA-7082/UA-7045の仕様 ビクター,JVC UA-7045 Gimbal Support Tonearm Manual"
Victor (JVC),UA-7082,282.0,12.0,17.5,61/109,Other,,,,,61.0,109.0,"BIGLOBE Arm Data,VICTOR UA-7082/UA-7045の仕様 ビクター,JVC Turntables Product Catalogue"
Wand,10.3in,,,,,Unknown,,,,,,,Design Build Listen Wand homepage
Wand,12in,,,,,Unknown,,,,,,,Design Build Listen Wand homepage
Wand,9.5in,,,,,Unknown,,,,,,,Design Build Listen Wand homepage
