tonearm_model_id,manufacturer,model_name,normalized_model_name,display_name,notes,created_at
229,Music Hall,MMF-5.3,mmf-5-3,Music Hall MMF-5.3,Dual-plinth Music Hall turntable package.,2026-06-16T21:14:07+00:00
228,Music Hall,MMF-7.3,mmf-7-3,Music Hall MMF-7.3,Dual-plinth Music Hall turntable package.,2026-06-16T21:14:07+00:00
227,Music Hall,MMF-9.3,mmf-9-3,Music Hall MMF-9.3,Triple-plinth Music Hall turntable package.,2026-06-16T21:14:07+00:00
97,Naim,Aro,aro,Naim Aro,,2026-06-16T15:53:09+00:00
98,Odyssey,RP1-XG & RP1 Gold,rp1-xg-rp1-gold,Odyssey RP1-XG & RP1 Gold,,2026-06-16T15:53:09+00:00
341,Origin Live,"10""",10,"Origin Live 10""",Workbook target is a generic Origin Live arm-length option.,2026-06-18T07:50:53+00:00
342,Origin Live,"12""",12,"Origin Live 12""",Workbook target is a generic Origin Live arm-length option.,2026-06-18T07:50:53+00:00
339,Origin Live,"9""",9,"Origin Live 9""",Workbook target is a generic Origin Live arm-length option.,2026-06-18T07:50:53+00:00
340,Origin Live,"9.5""",9-5,"Origin Live 9.5""",Workbook target is a generic Origin Live arm-length option.,2026-06-18T07:50:53+00:00
332,Origin Live,Agile,agile,Origin Live Agile,Workbook exact-model follow-up from official Origin Live pages.,2026-06-18T07:50:32+00:00
144,Origin Live,Alliance,alliance,Origin Live Alliance,,2026-06-16T16:35:49+00:00
338,Origin Live,Conquerer,conquerer,Origin Live Conquerer,Workbook target spelling variant of official Origin Live Conqueror model.,2026-06-18T07:50:53+00:00
335,Origin Live,Conqueror,conqueror,Origin Live Conqueror,Workbook exact-model follow-up from official Origin Live pages.,2026-06-18T07:50:32+00:00
333,Origin Live,Encounter,encounter,Origin Live Encounter,Workbook exact-model follow-up from official Origin Live pages.,2026-06-18T07:50:32+00:00
336,Origin Live,Enterprise,enterprise,Origin Live Enterprise,Workbook exact-model follow-up from official Origin Live pages.,2026-06-18T07:50:32+00:00
334,Origin Live,Illustrious,illustrious,Origin Live Illustrious,Workbook exact-model follow-up from official Origin Live pages.,2026-06-18T07:50:32+00:00
145,Origin Live,Onyx,onyx,Origin Live Onyx,,2026-06-16T16:35:49+00:00
337,Origin Live,Renown,renown,Origin Live Renown,Workbook exact-model follow-up from official Origin Live pages.,2026-06-18T07:50:32+00:00
146,Origin Live,Silver,silver,Origin Live Silver,,2026-06-16T16:35:49+00:00
147,Origin Live,Zephyr,zephyr,Origin Live Zephyr,,2026-06-16T16:35:49+00:00
206,Ortofon,AS-212R,as-212r,Ortofon AS-212R,Current 9 inch Reference tonearm.,2026-06-16T16:59:56+00:00
207,Ortofon,AS-309R,as-309r,Ortofon AS-309R,Current 12 inch Reference tonearm.,2026-06-16T16:59:56+00:00
99,Ortofon,RMG-212 & RS-212,rmg-212-rs-212,Ortofon RMG-212 & RS-212,,2026-06-16T15:53:09+00:00
100,Ortofon,RMG-309,rmg-309,Ortofon RMG-309,,2026-06-16T15:53:09+00:00
208,Ortofon,RS-212D,rs-212d,Ortofon RS-212D,Current 9 inch dynamic-balance tonearm.,2026-06-16T16:59:56+00:00
209,Ortofon,RS-309D,rs-309d,Ortofon RS-309D,Current 12 inch dynamic-balance tonearm.,2026-06-16T16:59:56+00:00
101,Ortofon,SMG-212/SKG-212/AS-212,smg-212-skg-212-as-212,Ortofon SMG-212/SKG-212/AS-212,,2026-06-16T15:53:09+00:00
127,Ortofon,TA-110,ta-110,Ortofon TA-110,,2026-06-16T15:59:52+00:00
251,Pear Audio,Cornet 1,cornet-1,Pear Audio Cornet 1,Official Pear Audio Cornet 1 unipivot tonearm.,2026-06-16T23:05:58+00:00
252,Pear Audio,Cornet 2,cornet-2,Pear Audio Cornet 2,Official Pear Audio Cornet 2 unipivot tonearm family entry.,2026-06-16T23:05:58+00:00
294,Pear Audio,Cornet 3,cornet-3,Pear Audio Cornet 3,Official Pear Audio long-arm target from current lineup support.,2026-06-18T03:08:59+00:00
37,Pioneer,PA-100,pa-100,Pioneer PA-100,contains uncertainty markers,2026-06-16T15:53:09+00:00
38,Pioneer,PA-1000,pa-1000,Pioneer PA-1000,,2026-06-16T15:53:09+00:00
159,Pro-Ject,10cc Evolution,10cc-evolution,Pro-Ject 10cc Evolution,,2026-06-16T16:38:05+00:00
160,Pro-Ject,12cc Evolution,12cc-evolution,Pro-Ject 12cc Evolution,,2026-06-16T16:38:05+00:00
158,Pro-Ject,9cc Evolution,9cc-evolution,Pro-Ject 9cc Evolution,,2026-06-16T16:38:05+00:00
39,RS-Lab,Alternative alignment (underhang),alternative-alignment-underhang,RS-Lab Alternative alignment (underhang),contains uncertainty markers,2026-06-16T15:53:09+00:00
343,Rabco,SL-8,sl-8,Rabco SL-8,User-requested Rabco linear-tracker follow-up.,2026-06-18T07:51:09+00:00
344,Rabco,SL-8E,sl-8e,Rabco SL-8E,User-requested Rabco linear-tracker follow-up.,2026-06-18T07:51:09+00:00
167,Reed,1H 10.5-inch,1h-10-5-inch,Reed 1H 10.5-inch,,2026-06-16T16:41:04+00:00
168,Reed,1H 12-inch,1h-12-inch,Reed 1H 12-inch,,2026-06-16T16:41:04+00:00
166,Reed,1H 9.5-inch,1h-9-5-inch,Reed 1H 9.5-inch,,2026-06-16T16:41:04+00:00
149,Reed,3P 10.5-inch,3p-10-5-inch,Reed 3P 10.5-inch,,2026-06-16T16:38:05+00:00
150,Reed,3P 12-inch,3p-12-inch,Reed 3P 12-inch,,2026-06-16T16:38:05+00:00
148,Reed,3P 9.5-inch,3p-9-5-inch,Reed 3P 9.5-inch,,2026-06-16T16:38:05+00:00
306,Rega,RB2000,rb2000,Rega RB2000,Workbook gap exact Rega tonearm target from manufacturer manual mirror.,2026-06-18T06:37:24+00:00
302,Rega,RB220,rb220,Rega RB220,Workbook gap exact Rega tonearm target from official product page.,2026-06-18T06:37:24+00:00
161,Rega,RB250,rb250,Rega RB250,Split from grouped legacy row pending finer model-specific source verification.,2026-06-16T16:41:04+00:00
102,Rega,RB250 & RB300,rb250-rb300,Rega RB250 & RB300,,2026-06-16T15:53:09+00:00
162,Rega,RB300,rb300,Rega RB300,Split from grouped legacy row pending finer model-specific source verification.,2026-06-16T16:41:04+00:00
304,Rega,RB3000,rb3000,Rega RB3000,Workbook gap exact Rega tonearm target from official product page.,2026-06-18T06:37:24+00:00
131,Rega,RB330,rb330,Rega RB330,,2026-06-16T16:35:49+00:00
305,Rega,RB700,rb700,Rega RB700,Workbook gap legacy Rega tonearm target from official timeline support.,2026-06-18T06:37:24+00:00
303,Rega,RB880,rb880,Rega RB880,Workbook gap exact Rega tonearm target from official product page.,2026-06-18T06:37:24+00:00
103,Roksan,Artemiz/Tabriz,artemiz-tabriz,Roksan Artemiz/Tabriz,,2026-06-16T15:53:09+00:00
175,SAT,LM-09,lm-09,SAT LM-09,,2026-06-16T16:44:31+00:00
176,SAT,LM-12,lm-12,SAT LM-12,,2026-06-16T16:44:31+00:00
106,SME,3009 II imp & imp/S2: (later=S/N 439606 or above),3009-ii-imp-imp-s2-later-s-n-439606-or-above,SME 3009 II imp & imp/S2: (later=S/N 439606 or above),,2026-06-16T15:53:09+00:00
105,SME,3009 Series II improved with non-detachable shell and imp/S2 with detachable shell: (early=Serial Number less than 439606). Don't mix up previous Series II with imp/S2. See pdf arranged by SME for the identification of specific models IMO: S2 was named after the lightweight shell type S-2.,3009-series-ii-improved-with-non-detachable-shell-and-imp-s2-with-detachable-shell-early-serial-number-less-than-439606-don-t-mix-up-previous-series-ii-with-imp-s2-see-pdf-arranged-by-sme-for-the-identification-of-specific-models-imo-s2-was-named-after-the-lightweight-shell-type-s-2,SME 3009 Series II improved with non-detachable shell and imp/S2 with detachable shell: (early=Serial Number less than 439606). Don't mix up previous Series II with imp/S2. See pdf arranged by SME for the identification of specific models IMO: S2 was named after the lightweight shell type S-2.,,2026-06-16T15:53:09+00:00
107,SME,3009III &3009IIIS (original/smaller shell),3009iii-3009iiis-original-smaller-shell,SME 3009III &3009IIIS (original/smaller shell),,2026-06-16T15:53:09+00:00
108,SME,3009III &3009IIIS with modified wand (larger shell),3009iii-3009iiis-with-modified-wand-larger-shell,SME 3009III &3009IIIS with modified wand (larger shell),,2026-06-16T15:53:09+00:00
109,SME,3009R,3009r,SME 3009R,,2026-06-16T15:53:09+00:00
110,SME,3010R,3010r,SME 3010R,,2026-06-16T15:53:09+00:00
111,SME,3012R,3012r,SME 3012R,,2026-06-16T15:53:09+00:00
113,SME,309,309,SME 309,,2026-06-16T15:53:09+00:00
114,SME,310,310,SME 310,,2026-06-16T15:53:09+00:00
115,SME,312,312,SME 312,,2026-06-16T15:53:09+00:00
117,SME,M2-10,m2-10,SME M2-10,,2026-06-16T15:53:09+00:00
118,SME,M2-12,m2-12,SME M2-12,,2026-06-16T15:53:09+00:00
116,SME,M2-9,m2-9,SME M2-9,,2026-06-16T15:53:09+00:00
130,SME,Series V,series-v,SME Series V,,2026-06-16T15:59:52+00:00
112,SME,V/IV,v-iv,SME V/IV,,2026-06-16T15:53:09+00:00
119,SUMIKO,MMT/FT-3/FT-4,mmt-ft-3-ft-4,SUMIKO MMT/FT-3/FT-4,,2026-06-16T15:53:09+00:00
129,SUMIKO,Premier FT-3,premier-ft-3,Sumiko Premier FT-3,,2026-06-16T15:59:52+00:00
40,Saec,"WE-308 (circa 1971), WE-308N(1975) & WE-308SX (1982) IMO: ""Small overhang can moderate inside force."" Its effective null point around 61 is based on LP's inmost recorded radius.",we-308-circa-1971-we-308n-1975-we-308sx-1982-imo-small-overhang-can-moderate-inside-force-its-effective-null-point-around-61-is-based-on-lp-s-inmost-recorded-radius,"Saec WE-308 (circa 1971), WE-308N(1975) & WE-308SX (1982) IMO: ""Small overhang can moderate inside force."" Its effective null point around 61 is based on LP's inmost recorded radius.",,2026-06-16T15:53:09+00:00
41,Saec,WE-308L(circa 1978),we-308l-circa-1978,Saec WE-308L(circa 1978),,2026-06-16T15:53:09+00:00
274,Saec,WE-308SX,we-308sx,Saec WE-308SX,Exact Saec target represented from archival discussion with explicit factory geometry plus model-line context.,2026-06-17T00:27:42+00:00
43,Saec,WE-317(1982),we-317-1982,Saec WE-317(1982),,2026-06-16T15:53:09+00:00
275,Saec,WE-407/23,we-407-23,Saec WE-407/23,Exact SAEC target represented from archival product page plus historical geometry table.,2026-06-17T00:36:59+00:00
42,Saec,"WE-407/23(1980), WE-317S & WE-4700(2019) English manual for WE-407/23 & WE-317S uploaded at Vinyl Engine indicated Effective Length 221, which is mistranslation of Arm Distance. Similar case as Sound ST-14. WE-407/TM for Micro (BL-99V/SX-777FV etc with armbase 1200 series). Micro Armbase 1200 series had off-center mounting hole for adjustment of arm distance/overhang. WE-407/GT (around 1986) for Yamaha GT-2000 series (Heavy Turntables around 1982). GT had different geometry. GT-2000's standard arm distance was 248mm. SAEC's tradition: they don't care much about alignment while their mechanical precision work is superb.",we-407-23-1980-we-317s-we-4700-2019-english-manual-for-we-407-23-we-317s-uploaded-at-vinyl-engine-indicated-effective-length-221-which-is-mistranslation-of-arm-distance-similar-case-as-sound-st-14-we-407-tm-for-micro-bl-99v-sx-777fv-etc-with-armbase-1200-series-micro-armbase-1200-series-had-off-center-mounting-hole-for-adjustment-of-arm-distance-overhang-we-407-gt-around-1986-for-yamaha-gt-2000-series-heavy-turntables-around-1982-gt-had-different-geometry-gt-2000-s-standard-arm-distance-was-248mm-saec-s-tradition-they-don-t-care-much-about-alignment-while-their-mechanical-precision-work-is-superb,"Saec WE-407/23(1980), WE-317S & WE-4700(2019) English manual for WE-407/23 & WE-317S uploaded at Vinyl Engine indicated Effective Length 221, which is mistranslation of Arm Distance. Similar case as Sound ST-14. WE-407/TM for Micro (BL-99V/SX-777FV etc with armbase 1200 series). Micro Armbase 1200 series had off-center mounting hole for adjustment of arm distance/overhang. WE-407/GT (around 1986) for Yamaha GT-2000 series (Heavy Turntables around 1982). GT had different geometry. GT-2000's standard arm distance was 248mm. SAEC's tradition: they don't care much about alignment while their mechanical precision work is superb.",effective_length_raw=The front end of shell to arm pivot is indicated as 233mm. Then the stylus point should be located just under the front-end of shell. Modification after modification towards the end of analogue era is unreliable. Only interesting for a person of unusual tastes who would like something special (curiosity). I do not meddle in this kind of MESS anymore.; offset_angle_raw=18.8 (18 as per manual),2026-06-16T15:53:09+00:00
44,Saec,WE-506/30(1978),we-506-30-1978,Saec WE-506/30(1978),,2026-06-16T15:53:09+00:00
45,Saec,WE-8000/ST(circa 1984),we-8000-st-circa-1984,Saec WE-8000/ST(circa 1984),,2026-06-16T15:53:09+00:00
46,Satin,AR-1/1M/1S,ar-1-1m-1s,Satin AR-1/1M/1S,,2026-06-16T15:53:09+00:00
286,Schick,Schick 10.5-inch Tonearm,schick-10-5-inch-tonearm,Schick Schick 10.5-inch Tonearm,Official Thomas Schick 10.5-inch tonearm representation from FAQ plus family product page support.,2026-06-17T02:25:27+00:00
285,Schick,Schick 12-inch Tonearm,schick-12-inch-tonearm,Schick Schick 12-inch Tonearm,Official Thomas Schick 12-inch tonearm representation.,2026-06-17T02:25:27+00:00
200,Schroeder,CB 9-inch,cb-9-inch,Schroeder CB 9-inch,CB captive-bearing 9 inch variant.,2026-06-16T16:54:38+00:00
201,Schroeder,CB-L 12-inch,cb-l-12-inch,Schroeder CB-L 12-inch,CB-L captive-bearing 12 inch variant.,2026-06-16T16:54:38+00:00
225,Schroeder,DPS,dps,Schroeder DPS,Official manual gives mounting and alignment guidance for the DPS arm.,2026-06-16T20:54:24+00:00
224,Schroeder,Model 2,model-2,Schroeder Model 2,Official manual gives mounting and alignment guidance for the No.2 / Model 2.,2026-06-16T20:54:24+00:00
104,Schroeder,Model 2 and Model DPS,model-2-and-model-dps,Schroeder Model 2 and Model DPS,,2026-06-16T15:53:09+00:00
188,Schroeder,Reference,reference,Schroeder Reference,Official page gives mounting geometry guidance more than full spec table.,2026-06-16T16:50:17+00:00
49,Sony,PUA-1600S,pua-1600s,Sony PUA-1600S,,2026-06-16T15:53:09+00:00
47,Sony,PUA-237 & PUA-1500S,pua-237-pua-1500s,Sony PUA-237 & PUA-1500S,,2026-06-16T15:53:09+00:00
48,Sony,PUA-286 & PUA-1500L,pua-286-pua-1500l,Sony PUA-286 & PUA-1500L,,2026-06-16T15:53:09+00:00
50,Sony,PUA-7,pua-7,Sony PUA-7,,2026-06-16T15:53:09+00:00
51,Sony,PUA-9,pua-9,Sony PUA-9,,2026-06-16T15:53:09+00:00
128,Sorane,SA-1.2,sa-1-2,Sorane SA-1.2,,2026-06-16T15:59:52+00:00
293,Sorane,TA-1,ta-1,Sorane TA-1,Official Sorane conventional gimbal-bearing arm target from current manual.,2026-06-18T03:04:28+00:00
52,Sound,ST-14 with slide base & ST-14S(standard) without slide base (same geometry as Guya STO-140). Distance 237 was wrongly quoted as effective length. Similar misleading description is repeated in Japan due to language and preference (bad practice) of indicating mounting distance for exchanging arms. For example: Catalogs from 1980s quoted 227mm for Stax short arms and 300mm for Stax long arms.,st-14-with-slide-base-st-14s-standard-without-slide-base-same-geometry-as-guya-sto-140-distance-237-was-wrongly-quoted-as-effective-length-similar-misleading-description-is-repeated-in-japan-due-to-language-and-preference-bad-practice-of-indicating-mounting-distance-for-exchanging-arms-for-example-catalogs-from-1980s-quoted-227mm-for-stax-short-arms-and-300mm-for-stax-long-arms,Sound ST-14 with slide base & ST-14S(standard) without slide base (same geometry as Guya STO-140). Distance 237 was wrongly quoted as effective length. Similar misleading description is repeated in Japan due to language and preference (bad practice) of indicating mounting distance for exchanging arms. For example: Catalogs from 1980s quoted 227mm for Stax short arms and 300mm for Stax long arms.,"effective_length_raw=251 (237 should be distance). When effective lateral length is 237mm, then error angle +1.5 degree/-1 degree as mentioned in leaflet cannot be obtained.",2026-06-16T15:53:09+00:00
54,Stax,UA-7/7N/7cfN/9N,ua-7-7n-7cfn-9n,Stax UA-7/7N/7cfN/9N,,2026-06-16T15:53:09+00:00
55,Stax,UA-70/70N/90N,ua-70-70n-90n,Stax UA-70/70N/90N,,2026-06-16T15:53:09+00:00
211,Supatrac,Blackbird 10.5-inch,blackbird-10-5-inch,Supatrac Blackbird 10.5-inch,Standard 10.5 inch Blackbird variant.,2026-06-16T17:02:32+00:00
212,Supatrac,Blackbird 12-inch,blackbird-12-inch,Supatrac Blackbird 12-inch,Standard 12 inch Blackbird variant.,2026-06-16T17:02:33+00:00
210,Supatrac,Blackbird 9-inch,blackbird-9-inch,Supatrac Blackbird 9-inch,Standard 9 inch Blackbird variant.,2026-06-16T17:02:32+00:00
142,Supatrac,Blackbird 9.3-inch,blackbird-9-3-inch,Supatrac Blackbird 9.3-inch,,2026-06-16T16:35:49+00:00
214,Supatrac,Blackbird Farpoint 10.5-inch,blackbird-farpoint-10-5-inch,Supatrac Blackbird Farpoint 10.5-inch,Standard 10.5 inch Blackbird Farpoint variant.,2026-06-16T17:02:33+00:00
215,Supatrac,Blackbird Farpoint 12-inch,blackbird-farpoint-12-inch,Supatrac Blackbird Farpoint 12-inch,Standard 12 inch Blackbird Farpoint variant.,2026-06-16T17:02:33+00:00
213,Supatrac,Blackbird Farpoint 9-inch,blackbird-farpoint-9-inch,Supatrac Blackbird Farpoint 9-inch,Standard 9 inch Blackbird Farpoint variant.,2026-06-16T17:02:33+00:00
143,Supatrac,Blackbird Farpoint 9.3-inch,blackbird-farpoint-9-3-inch,Supatrac Blackbird Farpoint 9.3-inch,,2026-06-16T16:35:49+00:00
198,Supatrac,Nighthawk 10.5-inch,nighthawk-10-5-inch,Supatrac Nighthawk 10.5-inch,Standard 10.5 inch Nighthawk version.,2026-06-16T16:54:38+00:00
199,Supatrac,Nighthawk 12-inch,nighthawk-12-inch,Supatrac Nighthawk 12-inch,Standard 12 inch Nighthawk version.,2026-06-16T16:54:38+00:00
196,Supatrac,Nighthawk 9-inch,nighthawk-9-inch,Supatrac Nighthawk 9-inch,Standard 9 inch Nighthawk version.,2026-06-16T16:54:38+00:00
197,Supatrac,Nighthawk 9.3-inch,nighthawk-9-3-inch,Supatrac Nighthawk 9.3-inch,Rega/Michell-oriented 9.3 inch Nighthawk version.,2026-06-16T16:54:38+00:00
53,Supex,6140,6140,Supex 6140,,2026-06-16T15:53:09+00:00
120,Syrinx,PU-2 with minimum shell sliding on wand/PU-3 with fixed shell,pu-2-with-minimum-shell-sliding-on-wand-pu-3-with-fixed-shell,Syrinx PU-2 with minimum shell sliding on wand/PU-3 with fixed shell,contains uncertainty markers,2026-06-16T15:53:09+00:00
183,TW-Acustic,Raven 10.5,raven-10-5,TW-Acustic Raven 10.5,,2026-06-16T16:44:31+00:00
292,TW-Acustic,Raven 12-inch,raven-12-inch,TW-Acustic Raven 12-inch,Official TW-Acustic long Raven target. Queue name uses Raven 12-inch; official page labels the current product Raven 12.9.,2026-06-18T03:03:17+00:00
181,TechDAS,Air Force 10 10-inch,air-force-10-10-inch,TechDAS Air Force 10 10-inch,Air-bearing tonearm geometry from manufacturer leaflet.,2026-06-16T16:44:31+00:00
182,TechDAS,Air Force 10 12-inch,air-force-10-12-inch,TechDAS Air Force 10 12-inch,Air-bearing tonearm geometry from manufacturer leaflet.,2026-06-16T16:44:31+00:00
56,Technics,EPA-100/250/500,epa-100-250-500,Technics EPA-100/250/500,,2026-06-16T15:53:09+00:00
58,Technics,EPA-101L/101T/102L/102T/121L/121T,epa-101l-101t-102l-102t-121l-121t,Technics EPA-101L/101T/102L/102T/121L/121T,,2026-06-16T15:53:09+00:00
57,Technics,EPA-101S & EPA-121S,epa-101s-epa-121s,Technics EPA-101S & EPA-121S,,2026-06-16T15:53:09+00:00
59,Technics,EPA-99 & EPA-110,epa-99-epa-110,Technics EPA-99 & EPA-110,,2026-06-16T15:53:09+00:00
177,Thales,Simplicity II,simplicity-ii,Thales Simplicity II,Tangential pivoted tonearm with variable offset geometry.,2026-06-16T16:44:31+00:00
178,Thales,Statement,statement,Thales Statement,Tangential pivoted tonearm with variable offset geometry.,2026-06-16T16:44:31+00:00
121,Thorens,BTD-12S,btd-12s,Thorens BTD-12S,,2026-06-16T15:53:09+00:00
122,Thorens,TP16II with TP-62,tp16ii-with-tp-62,Thorens TP16II with TP-62,,2026-06-16T15:53:09+00:00
123,Thorens,TP16III with TP-63,tp16iii-with-tp-63,Thorens TP16III with TP-63,,2026-06-16T15:53:09+00:00
140,Tri-Planar,Mk VII,mk-vii,Tri-Planar Mk VII,,2026-06-16T16:35:49+00:00
124,Tri-Planar,Tri-Planar MKIV Ultimate,tri-planar-mkiv-ultimate,Tri-Planar Tri-Planar MKIV Ultimate,,2026-06-16T15:53:09+00:00
223,Tri-Planar,U12,u12,Tri-Planar U12,Current 12 inch Tri-Planar flagship tonearm.,2026-06-16T20:54:24+00:00
141,Tri-Planar,U2 SE,u2-se,Tri-Planar U2 SE,,2026-06-16T16:35:49+00:00
290,VPI,12-inch FatBoy gimbaled,12-inch-fatboy-gimbaled,VPI 12-inch FatBoy gimbaled,Official VPI target corresponding to the 12-inch FatBoy gimbaled queue row; official page labels it Fatboy Gimbal 12-3D Tonearm.,2026-06-18T01:37:40+00:00
172,VPI,Fatboy JMW 9 3D,fatboy-jmw-9-3d,VPI Fatboy JMW 9 3D,,2026-06-16T16:41:04+00:00
156,VPI,JMW-10,jmw-10,VPI JMW-10,,2026-06-16T16:38:05+00:00
171,VPI,JMW-10 3D,jmw-10-3d,VPI JMW-10 3D,,2026-06-16T16:41:04+00:00
217,VPI,JMW-10.5,jmw-10-5,VPI JMW-10.5,Legacy JMW-10.5 geometry from secondary analysis.,2026-06-16T19:49:47+00:00
218,VPI,JMW-10.5i,jmw-10-5i,VPI JMW-10.5i,Legacy rigid-mount JMW-10.5i geometry from secondary analysis plus official model-existence corroboration.,2026-06-16T19:49:47+00:00
157,VPI,JMW-12 3D,jmw-12-3d,VPI JMW-12 3D,,2026-06-16T16:38:05+00:00
155,VPI,JMW-9,jmw-9,VPI JMW-9,,2026-06-16T16:38:05+00:00
250,Vertere Acoustics,Reference Tonearm (Gen III),reference-tonearm-gen-iii,Vertere Acoustics Reference Tonearm (Gen III),Current Vertere flagship reference tonearm.,2026-06-16T23:05:58+00:00
249,Vertere Acoustics,Super Groove II Pathfinder Tonearm,super-groove-ii-pathfinder-tonearm,Vertere Acoustics Super Groove II Pathfinder Tonearm,Current Vertere SG-II Pathfinder tonearm.,2026-06-16T23:05:58+00:00
248,Vertere Acoustics,Super Groove Precision Tonearm,super-groove-precision-tonearm,Vertere Acoustics Super Groove Precision Tonearm,Current Vertere Super Groove precision tonearm.,2026-06-16T23:05:58+00:00
287,ViV Laboratory,Rigid Float HA9,rigid-float-ha9,ViV Laboratory Rigid Float HA9,Strong secondary representation for ViV Laboratory Rigid Float HA9 with consistent underhung geometry across distributor technical pages.,2026-06-17T03:54:19+00:00
60,Victor (JVC),UA-7045,ua-7045,Victor (JVC) UA-7045,,2026-06-16T15:53:09+00:00
61,Victor (JVC),UA-7082,ua-7082,Victor (JVC) UA-7082,,2026-06-16T15:53:09+00:00
346,Wand,10.3in,10-3in,Wand 10.3in,Workbook exact-length Wand follow-up from official homepage.,2026-06-18T07:59:15+00:00
347,Wand,12in,12in,Wand 12in,Workbook exact-length Wand follow-up from official homepage.,2026-06-18T07:59:15+00:00
345,Wand,9.5in,9-5in,Wand 9.5in,Workbook exact-length Wand follow-up from official homepage.,2026-06-18T07:59:15+00:00
288,Wand,Master 12-inch,master-12-inch,Wand Master 12-inch,Official Wand 12-inch Master tonearm representation. Target aligned to current official Plus/Master lineup naming.,2026-06-17T03:54:19+00:00
179,Well Tempered Lab,LTD 10.5-inch,ltd-10-5-inch,Well Tempered Lab LTD 10.5-inch,Standalone LTD tonearm with fixed headshell geometry.,2026-06-16T16:44:31+00:00
180,Well Tempered Lab,LTD 16-inch,ltd-16-inch,Well Tempered Lab LTD 16-inch,Integrated long-arm LTD variant used on Royale 400.,2026-06-16T16:44:31+00:00
173,Wilson Benesch,A.C.T. 0.5,a-c-t-0-5,Wilson Benesch A.C.T. 0.5,,2026-06-16T16:41:04+00:00
153,Wilson Benesch,A.C.T. 25,a-c-t-25,Wilson Benesch A.C.T. 25,,2026-06-16T16:38:05+00:00
174,Wilson Benesch,A.C.T. Two,a-c-t-two,Wilson Benesch A.C.T. Two,,2026-06-16T16:41:04+00:00
125,Wilson Benesch,ACT2& ACT 0.5,act2-act-0-5,Wilson Benesch ACT2& ACT 0.5,,2026-06-16T15:53:09+00:00
154,Wilson Benesch,Nanotube One,nanotube-one,Wilson Benesch Nanotube One,,2026-06-16T16:38:05+00:00
62,Yamaha,YSA-1,ysa-1,Yamaha YSA-1,,2026-06-16T15:53:09+00:00
63,Yamaha,YSA-2 pure straight arm,ysa-2-pure-straight-arm,Yamaha YSA-2 pure straight arm,,2026-06-16T15:53:09+00:00
126,Zeta,Zeta,zeta,Zeta Zeta,,2026-06-16T15:53:09+00:00
