manufacturer,model_name,source_count,trust_levels,source_types,has_official_source,has_secondary_source,has_dealer_source,has_review_source,has_manual_mirror_source,relies_on_secondary_only,needs_official_followup
Supatrac,Nighthawk 10.5-inch,1,official,official_page,1,0,0,0,0,0,0
Supatrac,Nighthawk 12-inch,1,official,official_page,1,0,0,0,0,0,0
Supatrac,Nighthawk 9-inch,1,official,official_page,1,0,0,0,0,0,0
Supatrac,Nighthawk 9.3-inch,1,official,official_page,1,0,0,0,0,0,0
Supex,6140,3,"secondary,official","secondary_table,official_brochure",1,1,0,0,0,0,0
Syrinx,PU-2 with minimum shell sliding on wand/PU-3 with fixed shell,3,"secondary,official","secondary_table,manual_mirror",1,1,0,0,1,0,0
TW-Acustic,Raven 10.5,1,official,official_page,1,0,0,0,0,0,0
TW-Acustic,Raven 12-inch,1,official,official_page,1,0,0,0,0,0,0
TechDAS,Air Force 10 10-inch,1,official,official_pdf,1,0,0,0,0,0,0
TechDAS,Air Force 10 12-inch,1,official,official_pdf,1,0,0,0,0,0,0
Technics,EPA-100/250/500,4,"secondary,official","secondary_table,official_manual",1,1,0,0,0,0,0
Technics,EPA-101L/101T/102L/102T/121L/121T,3,"secondary,official","secondary_table,official_manual,secondary_index",1,1,0,0,0,0,0
Technics,EPA-101S & EPA-121S,2,"secondary,official","secondary_table,official_manual",1,1,0,0,0,0,0
Technics,EPA-99 & EPA-110,2,"secondary,official","secondary_table,official_manual",1,1,0,0,0,0,0
Thales,Simplicity II,2,official,"official_pdf,official_page",1,0,0,0,0,0,0
Thales,Statement,1,official,official_page,1,0,0,0,0,0,0
Thorens,BTD-12S,4,"secondary,official","secondary_table,official_manual",1,1,0,0,0,0,0
Thorens,TP16II with TP-62,4,"official,secondary","official_manual,secondary_table",1,1,0,0,0,0,0
Thorens,TP16III with TP-63,2,"official,secondary","official_manual,secondary_table",1,1,0,0,0,0,0
Tri-Planar,Mk VII,2,official,official_page,1,0,0,0,0,0,0
Tri-Planar,Tri-Planar MKIV Ultimate,2,"secondary,official","secondary_table,official_page",1,1,0,0,0,0,0
Tri-Planar,U12,1,official,official_page,1,0,0,0,0,0,0
Tri-Planar,U2 SE,2,official,official_page,1,0,0,0,0,0,0
VPI,12-inch FatBoy gimbaled,1,official,official_page,1,0,0,0,0,0,0
VPI,Fatboy JMW 9 3D,1,official,official_page,1,0,0,0,0,0,0
VPI,JMW-10,1,official,official_page,1,0,0,0,0,0,0
VPI,JMW-10 3D,1,official,official_page,1,0,0,0,0,0,0
VPI,JMW-10.5,3,"secondary,official","secondary_analysis,official_page,official_manual",1,1,0,0,0,0,0
VPI,JMW-10.5i,2,"official,secondary","official_page,secondary_analysis",1,1,0,0,0,0,0
VPI,JMW-12 3D,2,official,official_page,1,0,0,0,0,0,0
VPI,JMW-9,1,official,official_page,1,0,0,0,0,0,0
Vertere Acoustics,Reference Tonearm (Gen III),1,official,official_page,1,0,0,0,0,0,0
Vertere Acoustics,Super Groove II Pathfinder Tonearm,1,official,official_page,1,0,0,0,0,0,0
Vertere Acoustics,Super Groove Precision Tonearm,1,official,official_page,1,0,0,0,0,0,0
ViV Laboratory,Rigid Float HA9,3,"secondary,official","dealer_page,official_distributor_page",1,1,1,0,0,0,0
Victor (JVC),UA-7045,3,"secondary,official","secondary_table,official_brochure,manual_mirror",1,1,0,0,1,0,0
Victor (JVC),UA-7082,3,"secondary,official","secondary_table,official_brochure,manual_mirror",1,1,0,0,1,0,0
Wand,10.3in,1,official,official_page,1,0,0,0,0,0,0
Wand,12in,1,official,official_page,1,0,0,0,0,0,0
Wand,9.5in,1,official,official_page,1,0,0,0,0,0,0
Wand,Master 12-inch,2,official,"official_pdf,official_page",1,0,0,0,0,0,0
Well Tempered Lab,LTD 10.5-inch,1,official,official_pdf,1,0,0,0,0,0,0
Well Tempered Lab,LTD 16-inch,1,official,official_pdf,1,0,0,0,0,0,0
Wilson Benesch,A.C.T. 0.5,1,official,official_pdf,1,0,0,0,0,0,0
Wilson Benesch,A.C.T. 25,1,official,official_pdf,1,0,0,0,0,0,0
Wilson Benesch,A.C.T. Two,1,official,official_pdf,1,0,0,0,0,0,0
Wilson Benesch,ACT2& ACT 0.5,2,"secondary,official","secondary_table,manual_mirror",1,1,0,0,1,0,0
Wilson Benesch,Nanotube One,1,official,official_pdf,1,0,0,0,0,0,0
Yamaha,YSA-1,3,"secondary,official","secondary_table,official_brochure",1,1,0,0,0,0,0
Yamaha,YSA-2 pure straight arm,3,"secondary,official","secondary_table,official_brochure",1,1,0,0,0,0,0
Zeta,Zeta,2,"secondary,official","secondary_table,manual_mirror",1,1,0,0,1,0,0
